"타임스탬프","0. あなたの年齢を教えてください","1. このゲームはどれ程あなたの好みに合いましたか？","2. 下記の中で、楽しく遊んだことがあるものを選んでください（複数選択可）","3. このジャンルのゲームをプレイする主な理由は何ですか？（複数選択可）","4. 1プレイを「短い物語」だとすると、クライマックスはどんな瞬間でしたか？
例：「敵に囲まれてピンチだったが、一気に倒せたとき」
「新しいユニットの組み合わせの力を実感したとき」","5. 逆に、プレイ中に最もイライラしたり、アプリを削除したいと思った瞬間は？
 例：「ミネラルを取りに行きたいのに敵に囲まれて動けなかった」
「ユニットがなぜ倒されたのか分からなかった」","6. このゲームを友達に一言で紹介するとしたら？","7. ゲームで最も楽しいと感じた要素は何ですか？（複数選択可）","8. 最後にゲームシステムやルール、アートワークなど、改善してほしい点があれば自由に書いてください。"
"2025/09/28 1:41:20 PM GMT+9","20~29歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）;Archero（弓矢の伝説）","戦略で勝ったときの達成感","Yes","Yes","Yes","ユニットをマージして新しいランクを作ること","Yes"
"2025/09/28 1:44:56 PM GMT+9","20~29歳","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル","気持ちよかった","なし","やりこめるげーむ","モンスターを素早く倒す爽快感;マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/28 2:01:25 PM GMT+9","20~29歳","3","このようなゲームはあまり遊ばない","戦略で勝ったときの達成感","","","","マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/28 2:01:52 PM GMT+9","20~29歳","4","Survivor.io（ダダサバイバー）","敵を一掃するときのスリル;戦略で勝ったときの達成感","","","","マップのミネラルを採掘してルーレットでアイテムを得ること","端末が熱くなりがちです。"
"2025/09/28 2:35:00 PM GMT+9","20~29歳","4","このようなゲームはあまり遊ばない","キャラクターを育成して強くなる楽しさ","ボスを倒せたときに","ありませんでした","ゆるかわネーム","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること;マップのミネラルを採掘してルーレットでアイテムを得ること","改善点ない"
"2025/09/28 2:40:18 PM GMT+9","30~39歳","4","Vampire Survivors;Survivor.io（ダダサバイバー）","キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","敵に囲まれてピンチだったが","操作性が悪い(慣性が働きすぎてる)","猫のヴァンサバ","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること","操作性"
"2025/09/28 2:51:07 PM GMT+9","10~19歳","5","Archero（弓矢の伝説）","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","強くなって一気に倒せた時","ない","最高！！！！","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること",""
"2025/09/28 2:51:26 PM GMT+9","40~49歳","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル","","","","モンスターを素早く倒す爽快感",""
"2025/09/28 2:52:05 PM GMT+9","20~29歳","5","このようなゲームはあまり遊ばない","個性的なグラフィックや世界観","ボスの出現","ない","簡単","ユニットをマージして新しいランクを作ること","ない"
"2025/09/28 2:53:48 PM GMT+9","20~29歳","4","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;戦略で勝ったときの達成感;キャラクターを育成して強くなる楽しさ;個性的なグラフィックや世界観","英雄キャラクターを多く作れた時","","爽快感があるゲーム","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること","特にないです。楽しかったです！ありがとうございました。"
"2025/09/28 3:04:00 PM GMT+9","30~39歳","4","このようなゲームはあまり遊ばない","個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感;マップのミネラルを採掘してルーレットでアイテムを得ること",""
"2025/09/28 3:32:44 PM GMT+9","20~29歳","5","Vampire Survivors;Survivor.io（ダダサバイバー）","戦略で勝ったときの達成感","","","넵 친구나 회사 직원들에게","ユニットをマージして新しいランクを作ること",""
"2025/09/28 3:52:22 PM GMT+9","20~29歳","4","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;戦略で勝ったときの達成感;個性的なグラフィックや世界観","","","","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること",""
"2025/09/28 3:54:32 PM GMT+9","20~29歳","5","このようなゲームはあまり遊ばない","敵を一掃するときのスリル;キャラクターを育成して強くなる楽しさ","敵に囲まれた時はドキドキしましたが最後まで楽しかったです！","特にないです。","可愛らしいマスコットを操りながら敵を一掃するゲーム","モンスターを素早く倒す爽快感;戦略カードを集めてデッキを組む楽しさ;ユニットをマージして新しいランクを作ること;マップのミネラルを採掘してルーレットでアイテムを得ること","特にないです。"
"2025/09/28 4:13:25 PM GMT+9","40~49歳","3","Vampire Survivors","敵を一掃するときのスリル","パワーアップしたとき","スマホでは操作しにくい","","モンスターを素早く倒す爽快感;ユニットをマージして新しいランクを作ること",""
